country,year,GDPpcap,growthGDPpcap,inf,unemp
China,2000,1767.833627,7.640001655,0.347806257,3.299999952
China,2001,1901.40763,7.555801672,0.719132437,3.799999952
China,2002,2061.162284,8.401915061,-0.7319755,4.199999809
China,2003,2253.929689,9.352364262,1.127601961,4.599999905
China,2004,2467.132843,9.45917505,3.824637624,4.5
China,2005,2732.16588,10.74255231,1.776416168,4.5
China,2006,3062.534905,12.09183627,1.649433101,4.400000095
China,2007,3480.152725,13.63634486,4.816765313,4.300000191
China,2008,3796.633363,9.093872102,5.925255289,4.599999905
China,2009,4132.902312,8.857029819,-0.728171334,4.699999809
China,2010,4550.453596,10.10310072,3.175327981,4.5
China,2011,4961.234689,9.027255945,5.553897059,4.5
China,2012,5325.160106,7.33538001,2.619526165,4.599999905
China,2013,5710.587873,7.237862515,2.621049027,4.599999905
China,2014,6096.487817,6.75762202,1.921643416,4.599999905
China,2015,6484.435948,6.3634693,1.437024514,4.599999905
China,2016,6883.895425,6.160281025,2,4.5
China,2017,7308.065366,6.161772004,1.593137255,4.400000095
China,2018,7754.962119,6.115117072,2.074788902,4.416999817
India,2000,826.5924254,2.021088695,4.00943591,2.730999947
India,2001,851.6164995,3.027377625,3.779293122,2.868000031
India,2002,869.2013162,2.064875058,4.297152039,3.052000046
India,2003,922.1678844,6.093705485,3.805858995,3.181999922
India,2004,979.2838292,6.193660145,3.767251735,3.09800005
India,2005,1040.312274,6.231946593,4.24634362,3.101999998
India,2006,1106.926392,6.403280898,5.796523376,2.736999989
India,2007,1173.875326,6.048183016,6.372881356,2.398999929
India,2008,1192.511764,1.587599432,8.349267049,2.267999887
India,2009,1268.249168,6.35108234,10.88235294,2.474999905
India,2010,1357.563701,7.042349032,11.98938992,2.444000006
India,2011,1410.425876,3.893900217,8.858360966,2.519000053
India,2012,1469.177562,4.165528082,9.312445605,2.690000057
India,2013,1544.619197,5.134956907,10.90764331,2.822999954
India,2014,1640.180647,6.186731983,6.353194544,2.765000105
India,2015,1751.664378,6.79703975,5.872426595,2.782000065
India,2016,1874.228501,6.997009504,4.941026458,2.730000019
India,2017,1987.341087,6.035154528,2.490886999,2.556999922
India,2018,2104.163292,5.87831683,4.860699467,2.551000118
United States,2000,44726.9654,2.975208625,3.376857271,3.992000103
United States,2001,44728.59748,0.00364898,2.826171119,4.730999947
United States,2002,45087.36728,0.802103852,1.586031627,5.782999992
United States,2003,45980.51458,1.980925834,2.270094973,5.988999844
United States,2004,47287.59377,2.842680642,2.677236693,5.528999805
United States,2005,48499.81238,2.563502407,3.392746845,5.083000183
United States,2006,49405.7673,1.867955514,3.225944101,4.623000145
United States,2007,49856.28149,0.911865597,2.852672482,4.622000217
United States,2008,49319.47886,-1.076700087,3.839100297,5.78399992
United States,2009,47648.81325,-3.38743566,-0.355546266,9.25399971
United States,2010,48466.82338,1.71674816,1.640043442,9.633000374
United States,2011,48862.42494,0.816231685,3.156841569,8.949000359
United States,2012,49596.42192,1.502170582,2.069337265,8.069000244
United States,2013,50161.07582,1.138497258,1.464832656,7.375
United States,2014,51015.13548,1.702634248,1.622222977,6.168000221
United States,2015,52099.26976,2.125122816,0.118627136,5.28000021
United States,2016,52534.36528,0.835127873,1.261583206,4.868999958
United States,2017,53356.23624,1.564444431,2.130110004,4.355000019
United States,2018,54541.72316,2.221833867,2.442583297,3.933000088