year,CDC,AGI,state
2016,82189,NA,NY
1969,305,NA,NC
1970,1357,NA,NC
1971,4378,NA,NC
1972,8365,NA,NC
1973,11935,12260,NC
1974,16463,16850,NC
1975,19960,19960,NC
1976,23561,23710,NC
1977,25020,24960,NC
1978,27266,30120,NC
1979,29479,30370,NC
1980,32006,31890,NC
1981,32050,33220,NC
1982,31798,33230,NC
1983,32952,NA,NC
1984,34458,35800,NC
1985,32923,34180,NC
1986,33765,NA,NC
1987,35544,37630,NC
1988,37629,39720,NC
1989,36799,NA,NC
1990,36494,NA,NC
1991,36420,37210,NC
1992,35253,36180,NC
1993,34906,NA,NC
1994,35088,NA,NC
1995,33420,34600,NC
1996,33554,33550,NC
1997,31495,NA,NC
1998,33105,NA,NC
1999,32081,36400,NC
2000,30942,37610,NC
2001,30419,NA,NC
2002,29229,NA,NC
2003,31006,NA,NC
2004,33954,36220,NC
2005,32335,34500,NC
2006,35088,NA,NC
2007,33233,34290,NC
2008,31822,33140,NC
2009,30596,NA,NC
2010,30952,32700,NC
2011,26192,28600,NC
2012,24439,NA,NC
2013,22820,30550,NC
2014,24605,29960,NC
2015,27631,NA,NC
2016,27138,NA,NC
2017,27183,NA,NC
1974,137,150,ND
1975,812,890,ND
1976,1752,1630,ND
1977,2005,1900,ND
1978,2150,2240,ND
1979,2810,2810,ND
1980,2649,3140,ND
1981,2554,3180,ND
1982,3076,3350,ND
1983,3028,NA,ND
1984,2872,2940,ND
1985,2826,2850,ND
1986,2664,NA,ND
1987,2562,2560,ND
1988,2221,2230,ND
1989,1761,NA,ND
1990,1723,NA,ND
1991,1602,1600,ND
1992,1493,1490,ND
1993,1406,NA,ND
1994,1301,NA,ND
1995,1334,1330,ND
1996,1291,1290,ND
1997,1226,NA,ND
1998,1242,NA,ND
1999,1345,1330,ND
2000,1341,1340,ND
2001,1216,NA,ND
2002,1219,NA,ND
2003,1354,NA,ND
2004,1357,1340,ND
2005,1231,1230,ND
2006,1298,NA,ND
2007,1235,1240,ND
2008,1386,1400,ND
2009,1290,NA,ND
2010,1291,1290,ND
2011,1247,1250,ND
2012,1330,NA,ND
2013,1182,1180,ND
2014,1264,1260,ND
2015,1166,NA,ND
2016,1226,NA,ND
2017,1155,NA,ND
1952,4,NA,OH
1953,6,NA,OH
1956,1,NA,OH
1959,1,NA,OH
1963,4,NA,OH
1964,9,NA,OH
1974,25772,30400,OH
1975,36675,44600,OH
1976,37192,53420,OH
1977,47715,60190,OH
1978,41447,57140,OH
1979,41851,64380,OH
1980,42227,67140,OH
1981,45567,60700,OH
1982,50390,61440,OH
1983,44709,NA,OH
1984,41666,58040,OH
1985,36263,57360,OH
1986,35435,NA,OH
1987,40571,51490,OH
1988,34543,53400,OH
1989,36291,NA,OH
1990,32165,NA,OH
1991,41705,52030,OH
1992,36019,49520,OH
1993,41673,NA,OH
1994,37742,NA,OH
1995,36950,40940,OH
1996,36530,42870,OH
1997,38242,NA,OH
1998,37479,NA,OH
1999,37041,40250,OH
2000,38140,40230,OH
2001,37464,NA,OH
2002,35830,NA,OH
2003,35319,NA,OH
2004,34242,35050,OH
2005,34128,35060,OH
2006,32936,NA,OH
2007,30859,33790,OH
2008,29613,33550,OH
2009,28721,NA,OH
2010,28123,30220,OH
2011,24764,28590,OH
2012,25473,NA,OH
2013,23216,24560,OH
2014,21186,22730,OH
2015,20976,NA,OH
2016,20672,NA,OH
2017,20893,NA,OH
1974,4416,4350,OK
1975,5808,6780,OK
1976,7551,7550,OK
1977,8220,9990,OK
1978,10072,11180,OK
1979,10710,10820,OK
1980,11264,11280,OK
1981,10327,12360,OK
1982,12424,12690,OK
1983,11759,NA,OK
1984,8508,12630,OK
1985,8495,13100,OK
1986,6437,NA,OK
1987,5909,11000,OK
1988,11073,12120,OK
1989,11594,NA,OK
1990,10708,NA,OK
1991,10533,9130,OK
1992,9881,8940,OK
1993,10071,NA,OK
1994,6774,NA,OK
1995,7985,9130,OK
1996,6769,8400,OK
1997,6428,NA,OK
2000,7183,7390,OK
2001,7038,NA,OK
2002,6500,NA,OK
2003,6644,NA,OK
2004,6712,7100,OK
2005,6641,6950,OK
2006,7088,NA,OK
2007,6640,7000,OK
2008,6478,7160,OK
2009,6430,NA,OK
2010,6097,6290,OK
2011,5416,5860,OK
2012,5150,NA,OK
2013,5013,5770,OK
2014,4916,5330,OK
2015,4709,NA,OK
2016,3942,NA,OK
2017,4394,NA,OK
1968,323,NA,OR
1969,1407,NA,OR
1970,7196,NA,OR
1971,6997,NA,OR
1972,7143,NA,OR
1973,7447,11440,OR
1974,8794,13390,OR
1975,10641,13270,OR
1976,12590,12820,OR
1977,13163,15070,OR
1978,13605,14450,OR
1979,14501,17690,OR
1980,15735,17670,OR
1981,14799,15990,OR
1982,12807,16350,OR
1983,12064,NA,OR
1984,13133,15310,OR
1985,12056,15230,OR
1986,11217,NA,OR
1987,11147,14370,OR
1988,13309,15960,OR
1989,13928,NA,OR
1990,13658,NA,OR
1991,14310,16580,OR
1992,12685,16060,OR
1993,12961,NA,OR
1994,13392,NA,OR
1995,14079,15590,OR
1996,13767,15050,OR
1997,14834,NA,OR
1998,14344,NA,OR
1999,14145,16700,OR
2000,14194,17010,OR
2001,14272,NA,OR
2002,13172,NA,OR
2003,12622,NA,OR
2004,11443,13200,OR
2005,11602,13200,OR
2006,12246,NA,OR
2007,11883,13370,OR
2008,11610,12920,OR
2009,10801,NA,OR
2010,9990,11010,OR
2011,9567,10690,OR
2012,9016,NA,OR
2013,8287,9130,OR
2014,8231,9330,OR
2015,8610,NA,OR
2016,8942,NA,OR
2017,8506,NA,OR
2018,6544,NA,OR
1953,12,NA,PA
1956,8,NA,PA
1959,11,NA,PA
1972,8540,NA,PA
1974,38110,41620,PA
1975,43319,47450,PA
1976,53425,56350,PA
1977,57880,62040,PA
1978,60639,65150,PA
1979,64147,64920,PA
1980,65777,68910,PA
1981,62701,64850,PA
1982,60772,64060,PA
1983,59288,NA,PA
1984,59258,60680,PA
1985,53465,57370,PA
1986,51666,NA,PA
1987,51630,51800,PA
1988,50786,51830,PA
1989,51341,NA,PA
1990,52143,NA,PA
1991,50988,51780,PA
1992,49042,49740,PA
1993,47926,NA,PA
1994,41645,NA,PA
1995,39050,40760,PA
1996,38004,39520,PA
1997,37135,NA,PA
1998,35617,NA,PA
1999,34494,35200,PA
2000,35630,36570,PA
2001,36820,NA,PA
2002,35167,NA,PA
2003,36908,NA,PA
2004,36030,35600,PA
2005,34909,34150,PA
2006,36731,NA,PA
2007,36663,36190,PA
2008,38807,41000,PA
2009,37284,NA,PA
2010,36778,38650,PA
2011,36280,36870,PA
2012,34536,NA,PA
2013,32108,32370,PA
2014,32146,32030,PA
2015,31818,NA,PA
2016,30881,NA,PA
1974,2867,2910,RI
1975,3253,3310,RI
1976,3863,3890,RI
1977,4106,4200,RI
1978,4497,4570,RI
1979,5389,5650,RI
1980,6625,6640,RI
1981,7515,7500,RI
1982,7703,3770,RI
1983,6984,NA,RI
1984,7422,7450,RI
1985,7778,7770,RI
1986,7502,NA,RI
1987,7529,7390,RI
1988,7616,7190,RI
1989,7704,NA,RI
1990,7782,NA,RI
1991,7412,7500,RI
1992,6667,6990,RI
1993,6644,NA,RI
1994,6092,NA,RI
1995,5707,5720,RI
1996,5437,5420,RI
1997,5478,NA,RI
1998,4601,NA,RI
1999,5004,5190,RI
2000,5413,5600,RI
2001,5455,NA,RI
2002,5550,NA,RI
2003,5538,NA,RI
2004,5587,5730,RI
2005,5091,5290,RI
2006,4828,NA,RI
2007,4820,4910,RI
2008,4502,5000,RI
2009,4326,NA,RI
2010,4181,4290,RI
2011,4165,4210,RI
2012,3549,NA,RI
2013,3251,3550,RI
2014,2990,3580,RI
2015,2649,NA,RI
1970,392,NA,SC
1971,727,NA,SC
1972,854,NA,SC
1973,2102,2180,SC
1974,3760,5120,SC
1975,4511,6170,SC
1976,5702,5750,SC
1977,8799,8870,SC
1978,9969,13050,SC
1979,10976,13170,SC
1980,12274,13660,SC
1981,12496,15200,SC
1982,12616,16140,SC
1983,12164,NA,SC
1984,11704,11280,SC
1985,11578,11200,SC
1986,12174,NA,SC
1987,12992,12770,SC
1988,14133,14160,SC
1989,13741,NA,SC
1990,13285,NA,SC
1991,12538,13520,SC
1992,11008,12190,SC
1993,11611,NA,SC
1994,10922,NA,SC
1995,9984,11020,SC
1996,9326,9940,SC
1997,9212,NA,SC
1998,8802,NA,SC
1999,7687,8470,SC
2000,7527,8210,SC
2001,7014,NA,SC
2002,6657,NA,SC
2003,6573,NA,SC
2004,6565,6600,SC
2005,6716,7080,SC
2006,7005,NA,SC
2007,7544,7580,SC
2008,7187,7300,SC
2009,6911,NA,SC
2010,6464,6730,SC
2011,6379,6620,SC
2012,6084,NA,SC
2013,5878,6350,SC
2014,5714,6040,SC
2015,5778,NA,SC
1974,1601,1630,SD
1975,1475,1560,SD
1976,1561,1600,SD
1977,1384,1400,SD
1978,1396,1400,SD
1979,1398,1440,SD
1980,1308,1360,SD
1981,1579,1590,SD
1982,1693,1170,SD
1983,1691,NA,SD
1984,1673,1770,SD
1985,1577,1650,SD
1986,1364,NA,SD
1987,865,860,SD
1988,898,900,SD
1989,900,NA,SD
1990,946,NA,SD
1991,984,980,SD
1992,1038,1040,SD
1993,1075,NA,SD
1994,987,NA,SD
1995,1070,1040,SD
1996,901,1030,SD
1997,919,NA,SD
1998,674,NA,SD
1999,740,730,SD
2000,878,870,SD
2001,895,NA,SD
2002,826,NA,SD
2003,819,NA,SD
2004,814,800,SD
2005,805,790,SD
2006,748,NA,SD
2007,707,710,SD
2008,848,850,SD
2009,769,NA,SD
2010,737,740,SD
2011,597,600,SD
2012,634,NA,SD
2013,601,600,SD
2014,551,550,SD
2015,444,NA,SD
2016,472,NA,SD
2017,497,NA,SD
1974,7406,15800,TN
1975,11081,17590,TN
1976,16967,22940,TN
1977,16463,30440,TN
1978,18889,23040,TN
1979,23400,25430,TN
1980,23278,25590,TN
1981,21911,24240,TN
1982,20729,26100,TN
1983,20726,NA,TN
1984,21124,22570,TN
1985,21069,22350,TN
1986,21938,NA,TN
1987,21622,22050,TN
1988,21592,22090,TN
1989,21050,NA,TN
1990,21144,NA,TN
1991,19779,19840,TN
1992,18029,19060,TN
1993,17250,NA,TN
1994,16837,NA,TN
1995,18023,18240,TN
1996,17989,17990,TN
1997,18283,NA,TN
1998,18849,NA,TN
1999,16924,18100,TN
2000,17479,19010,TN
2001,17405,NA,TN
2002,17807,NA,TN
2003,17610,NA,TN
2004,16400,18200,TN
2005,16178,18140,TN
2006,17883,NA,TN
2007,18171,18380,TN
2008,18253,19550,TN
2009,17474,NA,TN
2010,16373,17850,TN
2011,16115,16720,TN
2012,15859,NA,TN
2013,14216,15180,TN
2014,12373,13880,TN
2015,11411,NA,TN
2016,11235,NA,TN
1974,35382,37710,TX
1975,37894,51210,TX
1976,50493,60710,TX
1977,54517,70740,TX
1978,63953,83280,TX
1979,76996,94080,TX
1980,84459,102000,TX
1981,85755,110110,TX
1982,80453,105820,TX
1983,81112,NA,TX
1984,81207,99960,TX
1985,80211,100820,TX
1986,85668,NA,TX
1987,84832,100210,TX
1988,81474,100690,TX
1989,81110,NA,TX
1990,92681,NA,TX
1991,91947,95930,TX
1992,91289,97400,TX
1993,90974,NA,TX
1994,89365,NA,TX
1995,87501,89240,TX
1996,91619,91270,TX
1997,84870,NA,TX
1998,81834,NA,TX
1999,80739,84100,TX
2000,76121,89160,TX
2001,77537,NA,TX
2002,79929,NA,TX
2003,79166,NA,TX
2004,75053,85210,TX
2005,77374,85760,TX
2006,82056,NA,TX
2007,81079,81880,TX
2008,81591,84610,TX
2009,77850,NA,TX
2010,77592,79390,TX
2011,72470,73200,TX
2012,68298,NA,TX
2013,63849,67530,TX
2014,54902,55230,TX
2015,55287,NA,TX
1974,1189,1480,UT
1975,2146,2010,UT
1976,2542,2590,UT
1977,3033,3070,UT
1978,3130,3150,UT
1979,3697,3810,UT
1980,4086,4200,UT
1981,3842,4080,UT
1982,3987,4180,UT
1983,3775,NA,UT
1984,4024,4240,UT
1985,4129,4440,UT
1986,4450,NA,UT
1987,4732,4830,UT
1988,4732,5030,UT
1989,4950,NA,UT
1990,4796,NA,UT
1991,4213,4250,UT
1992,3941,3940,UT
1993,3945,NA,UT
1994,3610,NA,UT
1995,3705,3740,UT
1996,3639,3700,UT
1997,3408,NA,UT
1998,3487,NA,UT
1999,3381,3280,UT
2000,3509,3510,UT
2001,3594,NA,UT
2002,3524,NA,UT
2003,3576,NA,UT
2004,3665,3610,UT
2005,3556,3630,UT
2006,3753,NA,UT
2007,3933,4100,UT
2008,3911,4000,UT
2009,3665,NA,UT
2010,3780,3540,UT
2011,3386,3290,UT
2012,3273,NA,UT
2013,3102,3170,UT
2014,2948,2960,UT
2015,3176,NA,UT
2016,3008,NA,UT
1971,9,NA,VT
1972,231,NA,VT
1973,1402,1490,VT
1974,1930,1860,VT
1975,2100,2250,VT
1976,2322,2750,VT
1977,1945,2370,VT
1978,2588,3290,VT
1979,2925,3380,VT
1980,3227,3760,VT
1981,3388,3760,VT
1982,3498,3710,VT
1983,3355,NA,VT
1984,3423,3450,VT
1985,3497,3430,VT
1986,3418,NA,VT
1987,3310,3690,VT
1988,3309,3580,VT
1989,3313,NA,VT
1990,3184,NA,VT
1991,3015,3110,VT
1992,2778,2900,VT
1993,2580,NA,VT
1994,2321,NA,VT
1995,2169,2420,VT
1996,2139,2300,VT
1997,1961,NA,VT
1998,1870,NA,VT
1999,1748,1730,VT
2000,1781,1660,VT
2001,1519,NA,VT
2002,1635,NA,VT
2003,1696,NA,VT
2004,1734,1720,VT
2005,1620,1490,VT
2006,1611,NA,VT
2007,1583,1570,VT
2008,1494,1510,VT
2009,1319,NA,VT
2010,1333,1370,VT
2011,1355,1370,VT
2012,1270,NA,VT
2013,1217,1490,VT
2014,1235,1400,VT
2015,1259,NA,VT
2016,1298,NA,VT
1971,3792,NA,VA
1972,4496,NA,VA
1973,7318,8390,VA
1974,14372,16500,VA
1975,18010,20290,VA
1976,22635,25180,VA
1977,26829,28040,VA
1978,30442,30370,VA
1979,31414,31380,VA
1980,31958,31760,VA
1981,32037,35760,VA
1982,31869,34880,VA
1983,31339,NA,VA
1984,31550,31670,VA
1985,31951,34180,VA
1986,32619,NA,VA
1987,32930,34410,VA
1988,34029,35420,VA
1989,33186,NA,VA
1990,32992,NA,VA
1991,31943,35170,VA
1992,29641,35020,VA
1993,28285,NA,VA
1994,26369,NA,VA
1995,25302,31480,VA
1996,25770,29940,VA
1997,26089,NA,VA
1998,26115,NA,VA
1999,27354,28960,VA
2000,27999,28780,VA
2001,24586,NA,VA
2002,24992,NA,VA
2003,26437,NA,VA
2004,26117,26340,VA
2005,26309,26520,VA
2006,27349,NA,VA
2007,27981,29800,VA
2008,28698,28520,VA
2009,27442,NA,VA
2010,25943,27660,VA
2011,25413,27110,VA
2012,22916,NA,VA
2013,20852,25890,VA
2014,20187,21080,VA
2015,18662,NA,VA
2016,17039,NA,VA
1970,527,NA,WA
1971,14347,NA,WA
1972,17767,NA,WA
1973,17319,17270,WA
1974,18185,19910,WA
1975,20963,20890,WA
1976,22790,22920,WA
1977,26939,31310,WA
1978,29848,34490,WA
1979,29710,35580,WA
1980,30270,37030,WA
1981,30978,35250,WA
1982,29298,34130,WA
1983,27856,NA,WA
1984,27783,29510,WA
1985,26581,30990,WA
1986,27947,NA,WA
1987,30172,29840,WA
1988,29802,31220,WA
1989,30452,NA,WA
1990,31443,NA,WA
1991,30243,32640,WA
1992,27573,33190,WA
1993,27558,NA,WA
1994,25965,NA,WA
1995,25075,25190,WA
1996,26138,26340,WA
1997,26932,NA,WA
1998,25327,NA,WA
1999,25523,26300,WA
2000,25692,26200,WA
2001,25620,NA,WA
2002,25148,NA,WA
2003,25084,NA,WA
2004,24664,23900,WA
2005,24108,23260,WA
2006,24631,NA,WA
2007,24850,24860,WA
2008,24297,24320,WA
2009,22672,NA,WA
2010,21124,22240,WA
2011,20225,21880,WA
2012,18386,NA,WA
2013,17592,19190,WA
2014,17710,19230,WA
2015,17098,NA,WA
2016,17080,NA,WA
1974,25,30,WV
1975,96,100,WV
1976,979,970,WV
1977,2147,2230,WV
1978,2758,2840,WV
1979,2954,3100,WV
1980,3057,3000,WV
1981,2640,3100,WV
1982,2725,3420,WV
1983,2821,NA,WV
1984,3347,4680,WV
1985,3326,4590,WV
1986,3372,NA,WV
1987,3189,2990,WV
1988,3467,3270,WV
1989,3036,NA,WV
1990,2500,NA,WV
1991,1598,2590,WV
1992,2812,3140,WV
1993,2619,NA,WV
1994,2085,NA,WV
1995,2666,3050,WV
1996,2470,2610,WV
1997,2808,NA,WV
1998,2738,NA,WV
1999,2498,2500,WV
2000,2549,2540,WV
2001,2332,NA,WV
2002,2049,NA,WV
2004,1945,2420,WV
2005,1674,2360,WV
2006,2037,NA,WV
2007,1853,2230,WV
2008,1983,2280,WV
2009,1772,NA,WV
2010,1999,2540,WV
2011,1837,2390,WV
2012,1828,NA,WV
2013,1876,2070,WV
2014,1730,2020,WV
2015,1519,NA,WV
1972,7427,NA,WI
1974,10920,10730,WI
1975,12319,11310,WI
1976,14243,14450,WI
1977,16133,16140,WI
1978,17764,17510,WI
1979,20035,20240,WI
1980,21754,21790,WI
1981,20819,21360,WI
1982,19412,20380,WI
1983,18866,NA,WI
1984,18836,18640,WI
1985,17309,17830,WI
1986,17454,NA,WI
1987,17318,18330,WI
1988,17986,18040,WI
1989,17575,NA,WI
1990,16848,NA,WI
1991,16237,15510,WI
1992,15549,15450,WI
1993,14671,NA,WI
1994,13396,NA,WI
1995,12782,13300,WI
1996,13673,14160,WI
1997,13218,NA,WI
1998,11681,NA,WI
1999,11013,11400,WI
2000,11040,11130,WI
2001,10925,NA,WI
2002,10489,NA,WI
2003,10557,NA,WI
2004,9943,9700,WI
2005,9817,9800,WI
2006,9580,NA,WI
2007,8267,8270,WI
2008,8229,8230,WI
2009,8542,NA,WI
2010,7825,8080,WI
2011,7249,7640,WI
2012,6927,NA,WI
2013,6462,6410,WI
2014,5800,6050,WI
2015,5660,NA,WI
2016,5612,NA,WI